Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definition (Data Dictionary)   Connect2.0,Manageable from the UI,Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[AffiliateId],[int],NO,Yes,NO,,"IDENTITY(1,1)",2023,,,,,N,label:Affiliate,Affiliate ID,
[AffiliateGuid],[uniqueidentifier],NO,No,Yes,,newid(),D63E10A4 3157 11D6 B0A1 00508B6D7CC3,where party_type_id=2,,,,N,,Affiliate Guid,
[AffiliateName],[varchar](200),NO,No,NO,,,Chicago Teachers Union,,,,company,Y,"default:1,long:1,full:1",Affiliate Name,
[AffiliateNumber],[char](5),NO,No,Yes,,,420,where affiliate_type_id not equal to 19,,,randomNumber,Y,"small:0,default:0,long:0,full:0",Affiliate Number,
[AffiliateAbbreviatedName],[varchar](200),Yes,No,No,,,Chicago Teachers Union,,,,company,Y,,Affiliate Abbreviated Name,
[AffiliateAcronym],[varchar](200),Yes,No,No,,,CTU,,,,company,Y,"tiny:0,small:1",Affiliate Acronym,
[AffiliateEIN],[char](10),Yes,No,No,,,36 0906695,,,,randomNumber,Y,,Affiliate EIN,
[AffiliatePerCapitaPIN],[varchar](20),Yes,No,No,,,123456,,,,randomNumber,N,,Affiliate Per Capita PIN,
[BillHighwayGroupId],[varchar](20),Yes,No,No,,,123456,,,,,Y,,BillHighway Group ID,
[IsChartered],[bit],NO,No,No,,1,1,,,,,Y,,Is Chartered,
[CharterDate],[datetime],Yes,No,No,,,1/1/1900,,,,dateTime,Y,,Charter Date,
[ParentAffiliateId],[int],Yes,No,No,Affiliate(AffiliateId),,8011,join with party and afifliate tabel find the affiliate number for the parent party id,,,,N,,Parent Affiliate ID,belongsTo
[AffiliateTypeId],[int],NO,No,No,AffiliateType(AffiliateTypeId),,,,,,,Y,,Affiliate Type ID,hasOne
[AffiliateDesignationId],[int],NO,No,No,AffiliateDesignation(AffiliateDesignationId),,LA,,,,,Y,,Affiliate Designation ID,hasOne
[AffiliateGeoReachId],[int],NO,No,No,AffiliateGeoReach(AffiliateGeoReachId),,,,,,,Y,,Affiliate Geo Reach ID,hasOne
[IsAffiliateActive],[bit],NO,No,No,,1,1,"if 1 then true, else false",,,,Y,,Is Affiliate Active,
