Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definitions (Data Dictionary),Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[AffiliateBillHighwayFormId],[int],No,Yes,No,,"IDENTITY(1,1)",,,,,,label:Billhighway Form,Affiliate Form ID,
[AffiliateId],[int],No,No,No,Affiliate(AffiliateId),,,,,,,,Affiliate ID,belongsTo
[AffiliateNumber],[char](5),Yes,No,No,,,,,,,,,Affiliate Number,
[AffiliateName],[varchar](50),Yes,No,No,,,,,,,,,Affiliate Name,
[BillHighwayGroupId],[varchar](50),Yes,No,No,,,,,,,,,BH Group ID,
[BillingTypeName],[varchar](200),Yes,No,No,,,,,,,,,Billing Type Name,
[BillingTypeId],[varchar](50),Yes,No,No,,,,,,,,,Billing Type ID,
[PaymentType],[varchar](50),Yes,No,No,,,,,,,,,Payment Type,
[DuesAmount],[varchar](50),Yes,No,No,,,,,,,,,Dues Amount,
[PaymentFrequency],[varchar](50),Yes,No,No,,,,,,,,,Payment Frequency,
[LocalDescription],[varchar](50),Yes,No,No,,,,,,,,,Local Description,
[NationalDuesCategoryId],[Int],Yes,No,No,,,,,,,,,NationalDuesCategoryId,
[NationalPerCapita],[varchar](50),Yes,No,No,,,,,,,,,National Per Capita,
[StateDuesCategoryId],[Int],Yes,No,No,,,,,,,,,StateDuesCategoryId,
[StatePerCapita],[varchar](50),Yes,No,No,,,,,,,,,State Per Capita,
[AcceptedCreditCard],[varchar](50),Yes,No,No,,,,,,,,,Accepted Credit Card,
[AccountType],[varchar](50),Yes,No,No,,,,,,,,,Account Type,
[AllowWorksiteLocation],[bit],Yes,No,No,,,,,,,,,Allow Worksite Location Lookup,
[BillHighwayMember],[bit],Yes,No,No,,,,,,,,,BillHighway Member,
[BypassDMARC],[bit],Yes,No,No,,,,,,,,,Bypass DMARC,
[CategoryId],[int],Yes,No,No,,,,,,,,,Category ID,
