Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definitions (Data Dictionary),Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[AffiliateEmailId],[int],No,Yes,No,,"Identity (1,1)",1,,,,,label:Affiliate Email,Affiliate Email ID,
[AffiliateId],[int],No,No,No,Affiliate(AffiliateId),,1,,,,,,Affiliate ID,belongsTo
[Email],[varchar] (200),No,No,No,,,,,An email address associated with an entity,email,y,default:0,Email,
[AffiliateEmailTypeId],[int],No,No,No,AffiliateEmailType(AffiliateEmailTypeId),,1,,,,,,Affiliate Email Type ID,hasOne
[ContactStatusId],[int],No,No,No,ContactStatus(ContactStatusId),2,1,,,,,,Contact Status ID,hasOne:reference
[IsPreferred],[bit],No,No,No,,0,1,,,,,,Is Preferred,
[ContactSourceId],[int],Yes,No,No,ContactSource(ContactSourceId),,,,,,,,Contact Source ID,hasOne:reference
[VerifiedDate],[datetime],Yes,No,No,,,,,,,,,Verified Date,
[CanContactRestrictionId],[int],No,No,No,ContactRestriction(ContactRestrictionId),,,,,,,,Can Contact,hasOne:reference
,,,,,,,,,,,,,
SQL,"SELECT DISTINCT
  [AffiliateEmailId] = c.id,
  [AffiliateId] = p.id,
  Email = e.email_address,
  [AffiliateEmailTypeId] =
                          CASE
                            WHEN c.contact_context_id NOT IN (19, 20) THEN 19
                            ELSE c.contact_context_id
                          END,
  [ContactStatusId] = c.contact_status_id,
  [IsPreferred] = c.is_preferred,
  [ContactSourceId] = c.contact_source_id,
  [VerifiedDate] = c.verified_date,
  [CanContactRestrictionId] = IIF(ISNULL(c.can_contact, 1) = 0, 2, 1),
  [CreatedAt] = c.created_at,
 [UpdatedAt] = c.updated_at
FROM email e (nolock)
INNER JOIN contact c (NOLOCK)
  ON e.contact_id = c.id
INNER JOIN party p (NOLOCK)
  ON p.id = c.party_id
INNER JOIN affiliate af (NOLOCK)
  ON p.id = af.party_id
INNER JOIN vw_1_affiliate_connect vw (NOLOCK)
  ON vw.affiliatenbr = af.number
WHERE c.is_deleted = 0
AND c.contact_type_id = 2
AND p.party_type_id = 2
AND p.is_deleted = 0
AND af.affiliate_type_id <> 19",,,,,,,,,,,,
