Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definition (Data Dictionary) Connect2.0,Manageable from the UI,Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[AuditYearId],[int],No,Yes,No,,"IDENTITY(1,1)",,,,,,,,,
[AffiliateId],[int],No,No,No,Affiliate(AffiliateId),,,,,,,,,,belongsTo
[AuditYear],[int],No,No,No,,,,,,,,,,,
[NextAuditDueDate],datetime,No,No,No,,,,,,,,,,,
[ForFiscalYearEnd],datetime,No,No,No,,,,,,,,,,,
[ExtRequestedDate],datetime,Yes,No,No,,,,,,,,,,,
[ExtRequestedBy],varchar(50),Yes,No,No,,,,,,,,,,,
[ExtComments],varchar(3000),Yes,No,No,,,,,,,,,,,
[ExtGrantedDate],datetime,Yes,No,No,,,,,,,,,,,
[Extapprovedby],int,Yes,No,No,,,,,,,,,,,
[AdvAuditNoticeDate],datetime,Yes,No,No,,,,,,,,,,,
[FirstLateNoticeDate],datetime,Yes,No,No,,,,,,,,,,,
[SecondLateNoticeDate],datetime,Yes,No,No,,,,,,,,,,,
[ThirdLateNoticeDate],datetime,Yes,No,No,,,,,,,,,,,
[NoticeExtGrantedDate],datetime,Yes,No,No,,,,,,,,,,,
[AuditRecptAckn],datetime,Yes,No,No,,,,,,,,,,,
[AuditUnaccpNotice],datetime,Yes,No,No,,,,,,,,,,,
[AuditAccpNotice],datetime,Yes,No,No,,,,,,,,,,,
[ContactByRegDirDate],datetime,Yes,No,No,,,,,,,,,,,
[AuditDateBumped],datetime,Yes,No,No,,,,,,,,,,,
[AuditDateBumpedBy],varchar(50),Yes,No,No,,,,,,,,,,,
[AuditDateBumpedReason],varchar(3000),Yes,No,No,,,,,,,,,,,
,,,,,,,,,,,,,,
SQL,,,,,,,,,,,,,,
