Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definitions (Data Dictionary),Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[ChapterPhoneId],[int],No,Yes,No,,"Identity (1,1)",1,,,,,label:Chapter Phone,Chapter Phone ID,
[ChapterId],[int],No,No,No,Chapter(ChapterId),,1,,,,,,Chapter ID,belongsTo
[PhoneNumber],[Varchar] (20),No,No,No,,,,phonenumber is how we track the contact phone number of any entity,The phone number asscoiated with the the PhoneId,phoneNumber,y,default:0,Phone Number,
[Extension],[Varchar] (10),YES,No,No,,,,phone extension,,,,default:1,Extension,
[AffiliatePhoneTypeId],[int],No,No,No,AffiliatePhoneType(AffiliatePhoneTypeId),,1,,,,,,Affiliate Phone Type ID,hasOne:reference
[ContactStatusId],[int],No,No,No,ContactStatus(ContactStatusId),2,1,,,,,,Contact Status ID,hasOne:reference
[CanTextRestrictionId],[int],No,No,No,ContactRestriction(ContactRestrictionId),0,,,,,,,Can Text,hasOne:reference
[CanCallRestrictionId],[int],No,No,No,ContactRestriction(ContactRestrictionId),0,,,,,,,Can Call,hasOne:reference
[IsPreferred],[bit],No,No,No,,0,1,,,,,,Is Preferred,
[ContactSourceId],[int],Yes,No,No,ContactSource(ContactSourceId),,1,,,,,,Contact Source ID,hasOne:reference
[VerifiedDate],[datetime],Yes,No,No,,,,,,,,,Verified Date,
,,,,,,,,,,,,,
SQL,,,,,,,,,,,,,
