Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definition (Data Dictionary)   Connect2.0,Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[EmployerId],[int],No,Yes,No,,"IDENTITY(1,1)",,,EmployerId is a unique ID field with an integer datatype. EmployerId is used to uniquly indentify each Employer in the Employer Table.,,,,Employer ID,
[EmployerGuid],[uniqueidentifier],No,No,No,,newid(),,Party_id in employer table in 1.0 should be joined with id in party table to obtain the correct guid associated to the employer for the existing records. Any new records will have new GUID.,GUID is an acronym for 'Globally Unique Identifier'.  EmplouerGUID is used to uniquely identify each Employer record in the Employer Table.,,,,Employer Guid,
[EmployerName],[varchar](200),No,No,No,,,Fairfax County Public Schools,,EmployerName states the Employer worksite Name in the Employer Table. EmployerName allows the user to define the name of the employer.,company,,default:0,Employer Name,
[EmployerTypeId],[int],No,No,No,EmployerType(EmployerTypeId),1,2,join with employertype table to find the employertypeid,EmployerTypeId is used to identify what type an Employer belongs to. For e.g. Health Care or Higher Education etc. EmployerTypeId is a foreign Key in the Employer Table which referenes to the Employer Type Table.,,,,Employer Type ID,hasOne:reference
[ParentEmployerId],[int],Yes,No,No,Employer(EmployerId),,,"In Connect1.0 there is no Parent Employer Id, This is a new column in 2.0. All the Employer Data should be migrated to 2.0 and ParentEmployerId will be NULL. In future if an Employer in 2.0 has a Parent Employer then an ID can be stored under ParentEmployerId.","ParentEmployerId field allows the user to establish a relationship between the employer they are creating and any other employers in the Connect2.0 database. ParentEmployerId acts a Foregin Key and references to the EmployerId in the Employer Table. For example,  Peace South is part of Kaiser Permanente, which makes Kaiser Parmanente the Parent Employer.",,,,Parent Employer ID,hasOne:reference
[Acronym],[varchar](30),Yes,No,No,,,FCPS,,An Acronym is an abbreviation created for an Employer which states the first letter of each word from the Employer Name. For e.g. Fairfax County Public Schools will have an acronym as 'FCPS',,,"tiny:0,small:0",Acronym,
[EmployerCode],[varchar](12),Yes,No,No,,,G34,,,,,"tiny:0,small:0",Employer Code,
[ChapterId],[int],Yes,No,No,Chapter(ChapterId),,1,,,,N,,Chapter ID,belongsTo
[HasPrivateSector],[bit],Yes,No,No,,,Yes,,,,,,Has Private Sector,
[Area],[varchar](50),Yes,No,No,,,,,,,,tiny:0,Area,
[WebsiteURL],[varchar](500),Yes,No,No,,,,,,,,,Website URL,
[IsStructural],[bit],No,NO,No,,0,1,,,,Y,,Is Employer Structural,
[IsUnknown],[bit],No,NO,No,,0,1,,,,Y,,Is Employer Unknown,
,,,,,,,,,,,,,
