Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definitions (Data Dictionary),Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[EmployerPhoneId],[int],No,Yes,No,,"Identity (1,1)",1,,,,,label:Employer Phone,Employer Phone ID,
[EmployerId],[int],No,No,No,Employer(EmployerId),,1,,,,,,Employer ID,belongsTo
[PhoneNumber],[Varchar] (20),NO,No,No,,,,phonenumber is how we track the contact phone number of any entity,The phone number asscoiated with the the PhoneId,phoneNumber,y,default:0,Phone Number,
[Extension],[Varchar] (10),YES,No,No,,,,phone extension,,,,default:1,Extension,
[EmployerPhoneTypeId],[int],No,No,No,EmployerPhoneType(EmployerPhoneTypeId),,1,,,,,,Employer Phone Type ID,hasOne
[ContactStatusId],[int],No,No,No,ContactStatus(ContactStatusId),2,1,,,,,,Contact Status ID,hasOne:reference
[CanTextRestrictionId],[int],No,No,No,ContactRestriction(ContactRestrictionId),0,,,,,,,Can Text,hasOne:reference
[CanCallRestrictionId],[int],No,No,No,ContactRestriction(ContactRestrictionId),0,,,,,,,Can Call,hasOne:reference
[IsPreferred],[bit],No,No,No,,0,1,,,,,,Is Preferred,
[ContactSourceId],[int],Yes,No,No,ContactSource(ContactSourceId),,1,,,,,,Contact Source ID,hasOne:reference
[VerifiedDate],[datetime],Yes,No,No,,,,,,,,,Verified Date,
,,,,,,,,,,,,,
SQL,"Select Distinct
[EmployerPhoneId] = c.id,
[EmployerId] = e.party_id,
[PhoneNumber] = ph.phone_number,
[Extension] = ph.extension,
[EmployerPhoneTypeId] =case when c.contact_context_id in (22,23,24) then c.contact_context_id else 22 end,
[ContactStatusId]= isnull(c.contact_status_id,2),
[CanTextRestrictionId] = IIF(isnull(ph.is_sms_allowed, 1) = 0, 2, 1),
[CanCallRestrictionId] = IIF(isnull(c.can_contact, 1) = 0, 2, 1),
[IsPreferred] = isnull(c.Is_Preferred,0),
[ContactSourceId] = c.contact_source_id,
[VerifiedDate] = c.verified_date,
[CreatedAt] = ISNULL(c.created_at, c.updated_at),
[UpdatedAt] = isnull(c.updated_at, c.created_at)
From Phone ph (nolock)
inner Join Contact c (nolock) on ph.contact_id = c.id
inner Join party p (nolock) on c.party_id = p.id
inner Join employer e (nolock) on e.party_id = p.id
inner Join relationship r (nolock) on r.related_party_id = e.party_id
inner Join affiliate af (nolock) on af.party_id = r.party_id
inner join party p2 (nolock) on p2.id=af.party_id
inner Join vw_1_affiliate_connect vw (nolock) on vw.affiliatenbr=af.number
inner join vw_1_Employer ve (nolock) on ve.employerId=e.party_id
left join  employer_location_contact elc (nolock) on elc.contact_id=c.id
Where 1=1
and c.is_deleted = 0
and c.contact_type_id=1
and p.is_deleted = 0
and p.party_type_id = 3
and r.relationship_type_id = 3
and r.is_deleted=0
and p2.party_type_id=2
and p2.is_deleted=0
and ph.phone_number<>''
and elc.id is null",,,,,,,,,,,,
