Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definitions (Data Dictionary),Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[IndividualId],[int],No,Yes,No,,"IDENTITY(1,1)","1,2,3",new field (incremental),,,,label:Individual,Individual ID,
[IndividualGuid],[uniqueidentifier],No,No,Yes,,newid(),123456987,unique ids to help track an individual across all systems,GUID is an acronym for 'Globally Unique Identifier'.  It is a 128 bit integer number used to identify resources. IndividualGuid is used to uniquely identify each Individual record in the Individual Table,,,,Individual Guid,
[FirstName],[varchar] (200),No,No,No,,,,,An Individual's First Name,firstName,,"tiny:0,small:0,default:0,long:0,full:0",First Name,
[MiddleName],[varchar] (200),Yes,No,No,,,,,An Individual's Middle Name,text,,"default:1,long:2,full:2",Middle Name,
[LastName],[varchar] (200),No,No,No,,,,,An Individual's Last Name,lastName,,"tiny:1,small:1,default:2,long:3,full:3",Last Name,
[PreferredName],[varchar] (200),Yes,No,No,,,,,An Individual's Chosen or Ideal Name,name,,"long:1,full:1",Preferred Name,
[PreviousName],[varchar] (200),Yes,No,No,,,,,An Individual's Previous Name. For e.g. If an Individual changed his/her name due to a life event/Marriage,name,,,Previous Name,
[PreferredPronoun],[varchar] (200),Yes,No,No,,,,,a pronoun the person uses to identify themselves,text,,,Preferred Pronoun,
[PrefixId],[int],Yes,No,No,Prefix(PrefixId),,,,the prefix an individual uses or prefers to be used,,,,Prefix ID,hasOne
[SuffixId],[int],Yes,No,No,Suffix(SuffixId),,,,,suffix,,,Suffix ID,hasOne
[PictureUrl],[varchar] (2000),Yes,No,No,,,,,a link to the individuals image,imageUrl,,,Picture URL,
[GenderId],[int],Yes,No,No,Gender(GenderId),,,,GenderID which acts as a look up/link to Gender Table. GenderID is a foreign key which cross references the Gender table to obtain the valid data or an Individual's Gender. For E.g. Male or Female,,,,Gender ID,hasOne
[EthnicityId],[int],Yes,No,No,Ethnicity(EthnicityId),,,,The ethnicity of an individual,,,,Ethnicity ID,hasOne
[MaritalStatusId],[int],Yes,No,No,MaritalStatus(MaritalStatusId),,,,MaritalStatusID which acts as a look up/link to MaritalStatus Table. MaritalStatusID is a foreign key which cross references the MaritalStatus table to obtain the valid data or an Individual's Marital Status. For e.g. Single or Married,,,,Marital Status ID,hasOne
[Dependents],[int],Yes,No,No,,,,,the number of dependents under this person,randomNumber,,,Dependents,
[DayOfBirth],[int],Yes,No,No,,,,,Day of Birth field stores the day of birth of an Individual. Day will be recorded in dd format,dayOfMonth,,,Day Of Birth,
[MonthOfBirth],[int],Yes,No,No,,,,,Day of Birth field stores the month of birth of an Individual. Day will be recorded in mm format.,month,,,Month Of Birth,
