Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definitions (Data Dictionary),Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[IndividualAffiliateId],[int],No,Yes,No,,"IDENTITY(1,1)",,,An Identification of an individual and an Affiliate's relationship,,,,Individual Affiliate ID,
[IndividualId],[int],No,No,No,Individual(IndividualId),,,,An Identification associated with an individual,,,,Individual ID,hasOne:child
[AffiliateId],[int],No,No,No,Affiliate(AffiliateId),,,,An Identification  associated with  an Affiliate,,,,Affiliate ID,belongsTo
[UnionRelationshipTypeId],[int],No,No,No,UnionRelationshipType(UnionRelationshipTypeId),,,,Identification of the relationship between Affiliate and an Individual,,,,Union Relationship Type ID,hasOne
[LocalDuesCategoryId],[int],Yes,No,No,LocalDuesCategory(LocalDuesCategoryId),,,,An Identifiation of the membership dues payed from a member,,,,Local Dues Category ID,hasOne:reference
[HasLiabilityInsurance],[bit],Yes,No,No,,,,,,,,,Has Liability Insurance,
[HasAccidentInsurance],[bit],Yes,No,No,,,,,,,,,Has Accident Insurance,
[IsCurrent],[bit],No,No,No,,,,Is active will help Identify if this individual currently affiliated with this Affiliate,The relationship between an individual and an Affiliate is Active or in active,,,,Is Current,
[IndividualDeactivationReasonId],[int],Yes,No,No,IndividualDeactivationReason(IndividualDeactivationReasonId),,,,,,,,Individual Deactivation Reason ID,hasOne
[StartDate],[datetime],No,No,No,,,,,,,,,Start Date,
[EndDate],[datetime],Yes,No,No,,,,,The date associated with the deactivation of the individual's record or an end of the current affiliation type,,,,End Date,
[PaidThroughDate],[datetime],Yes,No,No,,,,,,,,,Paid Through Date,
[PaymentMethodId],[int],Yes,No,No,PaymentMethod(PaymentMethodId),,,,,,,,Payment Method ID,hasOne:reference
[PaymentFrequencyId],[int],Yes,No,No,PaymentFrequency(PaymentFrequencyId),,,,,,,,Payment Frequency ID,hasOne:reference
,,,,,,,,,,,,,
