Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definitions (Data Dictionary),Sanitized Function,Is Editable,Display Name,Relationship Type
[IndividualBillHighwaySubmissionId],[int],No,Yes,No,,"IDENTITY(1,1)","1,2,3",,,,,Individual BH Submission ID,
[IndividualId],[int],No,No,No,Individual(IndividualId),,,,,,,Individual ID,hasOne:reference
[IndividualGuid],[uniqueidentifier],No,No,Yes,,newid(),1qe12ew,,,,,Individual Guid,
[AffiliateNumber],[char](5),Yes,No,No,Affiliate(AffiliateNumber),,,,,,,Local Union Nbr,ignore
[FirstName],[varchar](30),No,No,No,,,,,,firstName,,First Name,
[LastName],[varchar](40),No,No,No,,,,,,lastName,,Last Name,
[MiddleName],[varchar](30),Yes,No,No,,,,,,,,Middle Name,
[DateOfBirth],[datetime],Yes,No,No,,,,,,,,DOB,
[MemberId],[varchar](50),Yes,No,No,,,,,,,,Member ID,
[BillingAddress],[varchar](80),Yes,No,No,,,,,,streetAddress,,Billing Address,
[BillingAddress2],[varchar](80),Yes,No,No,,,,,,secondaryAddress,,Billing Address 2,
[BillingCity],[varchar](30),Yes,No,No,,,,,,city,,Billing City,
[BillingStateCode],[varchar](10),Yes,No,No,,,,,,,,Billing State Code,
[BillingZipCode],[varchar](20),Yes,No,No,,,,,,postcode,,Billing Zip Code,
[MailingAddress],[varchar](80),Yes,No,No,,,,,,streetAddress,,Mailing Address,
[MailingAddress2],[varchar](80),Yes,No,No,,,,,,secondaryAddress,,Mailing Address 2,
[MailingCity],[varchar](30),Yes,No,No,,,,,,city,,Mailing City,
[MailingStateCode],[varchar](10),Yes,No,No,,,,,,,,Mailing State Code,
[MailingZipCode],[varchar](20),Yes,No,No,,,,,,postcode,,Mailing Zip Code,
[HomePhone],[varchar](20),Yes,No,No,,,,,,,,Home Phone,
[MobilePhone],[varchar](20),Yes,No,No,,,,,,,,Mobile Phone,
[HomeEmail],[varchar](50),Yes,No,No,,,,,,,,Home Email,
[WorkPhone],[varchar](20),Yes,No,No,,,,,,,,Work Phone,
[WorkEmail],[varchar](50),Yes,No,No,,,,,,,,Work Email,
[EmployerId],[uniqueidentifier],Yes,No,No,,,,,,,,Employer ID,
[WorksiteId],[uniqueidentifier],Yes,No,No,,,,,,,,Worksite ID,
[WorkLocation],[varchar](50),Yes,No,No,,,,,,,,Work Location,
[JobTitle],[varchar](50),Yes,No,No,,,,,,,,Job Title,
[HireDate],[datetime],Yes,No,No,,,,,,,,Hire Date,
[BillHighwayId],[int],Yes,No,No,,,,,,,,BillHighway ID,
[BillHighwayReferenceId],[varchar](50),Yes,No,No,,,,,,,,BillHighway Reference ID,
[BillingTypeId],[varchar](50),Yes,No,No,,,,,,,,Billing Type ID,
[PaymentMethod],[varchar](50),Yes,No,No,,,,,,,,Payment Method,
[IsCCACHMatch],[bit],Yes,No,No,,,,,,,,CC ACH Match,
[AutoPayOnOff],[bit],Yes,No,No,,,,,,,,Auto Pay On/Off,
[IsBillingTypeIdMatch],[bit],Yes,No,No,,,,,,,,Billing TypeId Match,
[BankName],[varchar] (255),Yes,No,No,,,,,,,,Bank Name,
[BankAccountNumber],[varchar] (50),Yes,No,No,,,,,,,,Bank Account Number,
[BankRoutingNumber],[varchar] (50),Yes,No,No,,,,,,,,Bank Routing Number,
[NameOnCreditCard],[varchar] (255),Yes,No,No,,,,,,,,Name On Credit Card,
[CreditCardNumber],[varchar] (50),Yes,No,No,,,,,,,,Credit Card Number,
[CreditCardSecurityNumber],[varchar] (50),Yes,No,No,,,,,,,,Credit Card SecurityNumber,
[CreditCardType],[varchar] (50),Yes,No,No,,,,,,,,Credit Card Type,
[FaxNumber],[varchar] (20),Yes,No,No,,,,,,,,Fax Number,
,,,,,,,,,,,,,
