Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definitions (Data Dictionary),Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[IndividualBillHighwayTransactionId],[Int],No,Yes,No,,"IDENTITY(1,1)",,,,,,,Individual BH Transaction ID,
[IndividualGuid],[uniqueidentifier],No,No,Yes,,,,,,,,,Individual GUID,
[AffiliateNumber],[char](5),No,No,No,,,,,,,,,Local Union Nbr,
[TransactionDate],[datetime],yes,No,No,,,,,,,,,Transaction Date,
[DuesAmount],[money],yes,No,No,,,,,,,,"tiny:0,small:0",Dues Amount,
[CopeAmount],[money],yes,No,No,,,,,,,,"tiny:0,small:0",Cope Amount,
[TotalAmount],[money],yes,No,No,,,,,,,,"tiny:0,small:0",Total Amount,
[PaymentMethod],[varchar](50),yes,No,No,,,,,,,,default:0,Payment Method,
[BillHighwayTransactionId],[varchar](50),yes,No,No,,,,,,,,,BH Transaction ID,
[BillHighwayInvoiceNumber],[varchar](50),yes,No,No,,,,,,,,,BH Invoice Number,
[IsTransactionFailed],[varchar](50),yes,No,No,,,,,,,,,Is Transaction Failed,
[TransactionFailedReason],[varchar](500),yes,No,No,,,,,,,,,Transaction Failed Reason,
[BillHighwayErrorMessage],[varchar](max),yes,No,No,,,,,,,,,BillHighway Error Message,
[BillHighwayErrorResponse],[varchar](max),yes,No,No,,,,,,,,,BillHighway Error Response ,
[BillHighwayActiveMember],[bit],yes,No,No,,,,,,,,,BillHighway Active Member,
[Payroll],[bit],yes,No,No,,,,,,,,,Payroll,
[PayrollDeduction],[int],yes,No,No,,,,,,,,,Payroll Deduction,
,,,,,,,,,,,,,
SQL,,,,,,,,,,,,,
