Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definitions (Data Dictionary),Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[IndividualEmployerId],[int],No,Yes,No,,"Identity (1,1)",,,A uniqiue Identification number used to identify the IndividualEmployer bridge table. IndividualEmployerId can be used to retrieve all the details of an Individual and his/her associated Employer.,,,,Individual Employer ID,
[IndividualId],[int],No,No,No,Individual(IndividualId),,,,An Identification number to identify an individual. IndividualId is a foreign key in IndividualEmployer Table which references IndividualId from the Individual Table,,,,Individual ID,hasOne:reference
[EmployerId],[int],No,No,No,Employer(EmployerId),,,,An Identification number to identify an Employer. EmployerId is a foreign key in IndividualEmployer Table which references EmployerId from the Employer Table,,,,Employer ID,belongsTo
[EmployeeId],[varchar](35),Yes,No,No,,,,,An Identification of an employee provided from an employer not an affiliate.,,,label:Employee Id,Employee ID,
[LocalJobClassId],[int],Yes,No,No,LocalJobClass(LocalJobClassId),,,,LocalJobClassId is an Identification Number used to identify an Individual's Job Class. LocalJobClassId is a foreign key in the Individual Employer Table which references to the LocalJobClass Table for all the details.,,,,Local Job Class ID,hasOne:reference
[JobTitleId],[int],Yes,No,No,JobTitle(JobTitleId),,,,,,,,,hasOne:reference
[JobDescription],[varchar](200),Yes,No,No,,,Classroom Teacher,,An Individual's Job Title with his/her associated Employer.,jobTitle,,,Job Description,
[HireDate],[datetime],Yes,No,No,,,39583,,An Individual's Date that he/she got hired with an associated Employer,dateTime,,,Employment Hire Date,
[StartDate],[datetime],No,No,No,,,,,An Individual's Date that he/she got started working with an associated Employer,dateTime,,,Employment Start Date,
[UnitStartDate],[datetime],Yes,No,No,,,,,An Individual's Start date with a Bargaining Unit or a Union,dateTime,,,Unit Start Date,
[EndDate],[datetime],Yes,No,No,,,,,An Individual's Last Day of Employement with his/her associated Employer,dateTime,,,Employment End Date,
[WorkShift],[varchar](200),Yes,No,No,,,,,,,,,Work Shift,
[RetirementEffDate],[datetime],Yes,No,No,,,,,,dateTime,,,Retirement Effective Date,
[IsPartTime],[bit],No,No,No,,,0,,,,,,Is Part Time,
[IsTenured],[bit],No,No,No,,,0,,,,,,Is Tenured,
[CompensationId],[int],Yes,No,No,Compensation(CompensationId),,,,,,,,Compensation ID,hasOne:reference
[PayPeriodTypeId],[int],Yes,No,No,PayPeriodType(PayPeriodTypeId),,,,,,,,Pay Period Type ID,hasOne
