Field Name,Data Type + Length,Allow NULL value,Is_Primary_Key,Is_Unique_Key,Reference Table for Foreign Key,Default Value,Sample Values (if applicable),Business Rule(s),Definitions (Data Dictionary),Sanitized Function,Is Editable,Display Group,Display Name,Relationship Type
[IndividualEventEmailId],[int],No,Yes,Yes,,"Identity (1,1)",1,,,,,label:Individual Event Email,Individual Event Email ID,
[IndividualEventEmailGuid],[uniqueidentifier],No,No,Yes,,newid(),BE13E765 51DA 4AED 9F9C 4CC73E17B670,,,,,,Individual Event Email Guid,
[IndividualEventId],[int],No,No,No,IndividualEvent(IndividualEventId),,2,,,,,,Individual Event ID,belongsTo
[SentDate],[datetime],No,No,No,,,39583,,,,,,Sent Date,
[Body],[varchar](max),No,No,No,,,Happy Birthday!,,,,,,Body,
[Subject],[varchar](200),No,No,No,,,Happy BDay,,,,,,Subject,
[Recipient],[varchar](200),No,No,No,,,john.doe@xyz.com,,,email,,,Recipient,
[EmailFrequencyId],[int],Yes,No,No,EmailFrequency(EmailFrequencyId),,,Need to join with new table EmailFrequency,,,,,Email Frequency ID,hasOne
[EmailToken],[varchar](100),No,No,No,,,89CE728E 1AF1 4497 8E38 3B3A8990DF10,,,,,,Email Token,
[IsSent],[int],Yes,No,No,,0,1,,,,,,Is Sent,
,,,,,,,,,,,,,
SQL,"Select distinct
[IndividualEventEmailId] = ae.id,
[IndividualEventEmailGuid] = ae.guid,
[IndividualEventId] = ae.individual_activity_id,
[SentDate] = ae.sent_date,
[Body] = ae.body,
[Subject] = ae.subject,
[Recipient] = ae.recipient,
[EmailFrequencyId] = null,
[EmailToken] = ae.email_token,
[IsSent] = ae.Is_sent
From activity_email_log ae (nolock)
inner join individual_activity ia (nolock) on ae.individual_activity_id = ia.id
inner join party p (nolock) on ia.party_id = p.id
inner join activity a (nolock) on ia.activity_id = a.id
inner join relationship r (nolock) on ia.party_id = r.party_id
inner join affiliate af (nolock) on af.party_id = r.related_party_id
inner join vw_1_affiliate_connect vw (nolock) on af.number = vw.AffiliateNbr
where ae.is_deleted = 0
and r.is_deleted = 0
and ia.is_deleted = 0
and p.is_deleted = 0",,,,,,,,,,,,
